"title","year","length","budget","rating","votes","mpaa"
"Sahara",2005,124,130000000,5.8,3004,"PG-13"
"Saint Ange",2004,98,NA,5.6,80,"R"
"Saint Ralph",2004,98,NA,7.8,82,"PG-13"
"Saint, The",1997,116,70000000,5.7,12591,"PG-13"
"Saint-Ex",1996,82,NA,4.9,29,"PG"
"Saints and Soldiers",2003,90,780000,6.9,689,"PG-13"
"Sally",2000,79,NA,4.8,62,"R"
"Salton Sea, The",2002,107,18000000,7.2,5070,"R"
"Sam & Janet",2002,90,NA,3.7,79,"PG-13"
"Sam Whiskey",1969,96,NA,5.5,99,"PG-13"
"Samaria",2004,95,NA,7.3,650,"R"
"Samehada otoko to momojiri onna",1998,108,NA,6.9,373,"R"
"Sammyville",1999,94,NA,4,31,"PG-13"
"Samsara",2001,138,3000000,7.6,636,"R"
"Sand Pebbles, The",1966,193,12000000,7.6,1773,"PG-13"
"Sand Trap",1998,100,NA,5,42,"R"
"Sangre eterna",2002,108,25000,4.6,148,"R"
"Santa Claws",1996,83,NA,1.8,52,"R"
"Santa Fe",1997,97,NA,5.2,73,"R"
"Santa sangre",1989,123,787000,7.2,1165,"R"
"Santa with Muscles",1996,97,NA,1.8,2612,"PG"
"Santitos",1999,105,NA,7,176,"R"
"Sasquatch Hunters",1997,73,NA,2.7,15,"R"
"Saturday Night Fever",1977,113,NA,6.6,8179,"R"
"Saturn",1999,94,350000,5.5,43,"R"
"Savage",1995,99,5000000,4.1,93,"R"
"Savage Island",2003,92,NA,6.8,44,"R"
"Savage Messiah",2002,94,NA,6.4,239,"R"
"Save the Last Dance",2001,112,13000000,6.1,7613,"PG-13"
"Saved!",2004,92,5000000,7.1,6504,"PG-13"
"Saving Face",2004,91,NA,5.9,79,"R"
"Saving Grace",2000,94,NA,6.9,3912,"R"
"Saving Private Ryan",1998,170,70000000,8.3,100267,"R"
"Saving Silverman",2001,96,22000000,5.4,6684,"R"
"Savior",1998,104,10000000,7.2,1775,"R"
"Saw",2004,100,1200000,7.5,17191,"R"
"Say It Isn't So",2001,93,25000000,4.6,3144,"R"
"Say Nothing",2001,94,NA,5.2,180,"R"
"Scandal",1989,106,NA,6.2,971,"R"
"Scandalosa Gilda",1985,95,NA,6.3,13,"R"
"Scarlet Diva",2000,90,NA,5.2,438,"R"
"Scarlet Letter, The",1995,135,50000000,4.4,2426,"R"
"Scary Movie",2000,88,19000000,5.5,23293,"R"
"Scary Movie 2",2001,83,45000000,4.2,12035,"R"
"Scary Movie 3",2003,84,45000000,5.3,9225,"PG-13"
"Scenes of the Crime",2001,81,NA,5.7,366,"R"
"Schindler's List",1993,195,25000000,8.8,97667,"R"
"Schlafes Bruder",1995,127,NA,7.5,391,"R"
"School of Rock, The",2003,108,20000000,7.4,16452,"PG-13"
"Schultze Gets the Blues",2003,114,NA,7.4,510,"PG"
"Sci-Fighter",2004,90,NA,3.7,20,"PG-13"
"Sci-fighters",1996,94,NA,3.6,103,"R"
"Scooby Doo 2: Monsters Unleashed",2004,93,NA,4.7,2778,"PG"
"Scooby-Doo",2002,86,84000000,4.8,9618,"PG"
"Scorcher",2002,91,NA,3.7,253,"R"
"Score, The",2001,124,68000000,6.8,16106,"R"
"Scoring",1995,90,NA,3.6,31,"R"
"Scorned 2",1997,98,NA,3.8,68,"R"
"Scorpion King, The",2002,92,60000000,5.3,10111,"PG-13"
"Scorpion Spring",1997,90,NA,4.8,61,"R"
"Scotland, Pa.",2001,104,NA,6.8,1542,"R"
"Scottish Tale, The",1996,81,NA,4.1,31,"PG-13"
"Scoundrel's Wife, The",2002,95,NA,6.7,132,"R"
"Scratch the Surface",1997,75,NA,4.7,23,"PG"
"Scream",1996,111,15000000,7,43652,"R"
"Scream 2",1997,120,24000000,5.9,21533,"R"
"Scream 3",2000,116,40000000,5.4,15403,"R"
"Screamers",1995,108,11000000,5.6,2725,"R"
"Screwed",2000,78,10000000,4.8,1592,"PG-13"
"Sculptress, The",2000,101,NA,3.1,34,"R"
"Se7en",1995,127,30000000,8.4,88371,"R"
"Sea Ghost",2004,90,1500000,3.7,10,"R"
"Sea Wolf, The",1997,94,NA,3.3,14,"R"
"Sea, The",2003,30,NA,7.6,5,"R"
"Seabiscuit",2003,141,86000000,7.5,11552,"PG-13"
"Seamless: Kidz Rule",1999,91,NA,2.1,127,"R"
"Search and Destroy",1995,90,4000000,5,402,"R"
"Searching for Debra Winger",2002,97,600000,5.6,301,"R"
"Second Arrival, The",1998,105,NA,3.6,658,"R"
"Second Jungle Book: Mowgli & Baloo, The",1997,88,NA,4.7,113,"PG"
"Second to Die",2002,89,NA,4.3,31,"R"
"Secondhand Lions",2003,120,30000000,7.4,5543,"PG"
"Seconds",1966,103,NA,7.5,1698,"R"
"Secret Agent Club, The",1996,90,NA,2.7,148,"PG"
"Secret Agent, The",1996,95,NA,5.4,382,"R"
"Secret Kingdom, The",1998,90,800000,3.9,47,"PG"
"Secret Lives of Dentists, The",2002,105,NA,6.5,1253,"R"
"Secret Needs",2001,90,NA,3.4,19,"R"
"Secret Places",1996,90,NA,3.2,23,"R"
"Secret Pleasures",1999,88,NA,2.9,56,"R"
"Secret Window",2004,96,40000000,6.3,13260,"PG-13"
"Secret of the Andes",1999,95,NA,4.4,15,"PG"
"Secretary",2002,104,NA,7.2,9481,"R"
"Secrets & Lies",1996,136,4500000,7.9,7747,"R"
"Secrets of a Chambermaid",1998,99,NA,5.4,68,"R"
"Seduction of Innocence",1995,101,NA,5.2,30,"R"
"See Spot Run",2001,94,16000000,5,1193,"PG"
"Seed of Chucky",2004,87,12000000,5.1,1342,"R"
"Seeing Other People",2004,90,NA,6.1,526,"R"
"Segunda piel",2000,110,NA,6.5,344,"R"
"Selena",1997,127,20000000,6.1,2870,"PG"
"Sen to Chihiro no kamikakushi",2001,125,NA,8.6,24253,"PG"
"Sender, The",1998,98,NA,3.5,176,"R"
"Senior Trip",1995,91,NA,4.8,982,"R"
"Sennen joyu",2001,87,NA,8,970,"PG"
"Sense and Sensibility",1995,136,16500000,7.7,13904,"PG"
"Senseless",1998,96,NA,5.3,1656,"R"
"Sensual Friends",2001,93,NA,3.7,46,"R"
"Sentinel 2099",1995,75,NA,6,5,"PG-13"
"September Tapes",2004,95,NA,6.1,134,"R"
"Serendipity",2001,90,28000000,6.6,10795,"PG-13"
"Serial Killer",1995,94,NA,5.2,84,"R"
"Serial Killing 4 Dummys",2004,83,NA,4.7,105,"R"
"Serial Mom",1994,95,13000000,6.3,4750,"R"
"Series 7: The Contenders",2001,86,NA,6.7,2253,"R"
"Serpent's Kiss, The",1997,104,13000000,5.3,368,"R"
"Serpent's Lair",1995,90,4000000,4.1,118,"R"
"Serving Sara",2002,99,29000000,4.6,2990,"PG-13"
"Session 9",2001,97,1500000,6.6,3718,"R"
"Set It Off",1996,123,9000000,6.1,1619,"R"
"Set Up, The",1995,93,NA,4.3,162,"R"
"Settlement, The",1999,101,NA,5.4,90,"R"
"Seunlau ngaklau",2000,113,NA,6.8,1283,"R"
"Seven Days to Live",2000,96,NA,5.2,448,"R"
"Seven Girlfriends",1999,99,NA,5.7,318,"R"
"Seven Years in Tibet",1997,139,70000000,6.6,9426,"PG-13"
"Sex Files: Alien Erotica",1999,99,NA,5,114,"R"
"Sex Files: Portrait of the Soul",1999,90,NA,3.8,17,"R"
"Sex Files: Sexual Matrix",1999,79,NA,3.2,52,"R"
"Sex Is Comedy",2002,94,NA,6,406,"R"
"Sex Monster, The",1999,97,NA,5.2,632,"R"
"Sexperiment, The",1998,102,NA,3.8,34,"R"
"Sexual Impulse",1997,95,NA,2.3,6,"R"
"Sexy Beast",2000,89,NA,7,7462,"R"
"Sgt. Bilko",1996,93,39000000,5.1,3712,"PG"
"Shade",2003,101,6800000,6.5,1616,"R"
"Shades of Darkness",2000,88,NA,2.6,27,"PG-13"
"Shadow Builder",1998,120,NA,4.5,347,"R"
"Shadow Conspiracy",1997,103,45000000,4.5,1078,"R"
"Shadow Dancer",1997,89,NA,2.1,22,"R"
"Shadow Fury",2001,89,NA,3.1,77,"R"
"Shadow Glories",2001,107,NA,6.4,58,"R"
"Shadow Hours",2000,95,NA,5.2,240,"R"
"Shadow Magic",2000,115,NA,7.3,277,"PG"
"Shadow Warriors",1996,89,NA,2.4,24,"R"
"Shadow of Doubt",1998,103,NA,5.2,428,"R"
"Shadow of Fear",2004,88,NA,5,110,"PG-13"
"Shadrach",1998,98,NA,6.3,325,"PG-13"
"Shaft",2000,99,46000000,6,13742,"R"
"Shafted!",2000,90,NA,5.1,33,"R"
"Shakes the Clown",1992,87,1400000,5.5,838,"R"
"Shakespeare in Love",1998,122,25000000,7.5,41999,"R"
"Shall We Dance",2004,106,40000000,6,3479,"PG-13"
"Shall we dansu?",1996,118,NA,7.7,3368,"PG-13"
"Shallow Grave",1994,93,2500000,7.4,9401,"R"
"Shallow Ground",2004,97,NA,5.4,102,"R"
"Shallow Hal",2001,113,40000000,6.1,13217,"PG-13"
"Shame, Shame, Shame",1998,100,NA,3.4,35,"R"
"Shanghai Knights",2003,114,50000000,6.3,7279,"PG-13"
"Shanghai Noon",2000,110,55000000,6.7,12258,"PG-13"
"Shao Lin men",1976,95,NA,5.2,163,"R"
"Shape of Things, The",2003,96,4000000,6.9,1816,"R"
"Shark Attack",1999,92,NA,3.1,512,"R"
"Shark Attack 2",2000,93,NA,2.8,260,"R"
"Shark Attack 3: Megalodon",2002,90,NA,2.4,292,"R"
"Shark Hunter",2001,94,NA,3.1,139,"R"
"Shark Tale",2004,90,75000000,5.9,7819,"PG"
"Shark in a Bottle",1998,94,NA,3.3,32,"R"
"Shattered Glass",2003,95,6000000,7.5,4108,"PG-13"
"Shattered Image",1998,104,NA,4.3,246,"R"
"Shattered Lies",2002,95,NA,3.2,19,"R"
"Shaun of the Dead",2004,99,4000000,7.9,18685,"R"
"Shawshank Redemption, The",1994,142,25000000,9.1,149494,"R"
"She Hate Me",2004,138,NA,4.6,789,"R"
"She's All That",1999,95,10000000,5.5,13070,"PG-13"
"She's So Lovely",1997,100,18000000,5.7,2280,"R"
"She's the One",1996,96,3500000,6,3779,"R"
"Sheer Passion",1998,93,NA,3.4,21,"R"
"Shekvarebuli kulinaris ataserti retsepti",1997,100,NA,6.8,175,"PG-13"
"Shelf Life",2004,90,NA,5.4,11,"R"
"Shelter Island",2003,82,5000000,3.9,191,"R"
"Shi di chu ma",1980,90,NA,7.1,646,"PG-13"
"Shi mian mai fu",2004,118,NA,7.6,8700,"PG-13"
"Shiloh",1996,93,NA,6.3,222,"PG"
"Shiloh 2: Shiloh Season",1999,96,NA,5.4,108,"PG"
"Shine",1996,105,5500000,7.6,12425,"PG-13"
"Shiner",2000,99,NA,6.1,405,"R"
"Shipment, The",2001,92,NA,3.4,126,"R"
"Shipping News, The",2001,111,35000000,6.9,7695,"R"
"Shiqi sui de dan che",2001,113,NA,7.4,908,"PG-13"
"Shooter, The",2001,88,NA,4.2,78,"R"
"Shootfighter II",1995,95,NA,4.6,54,"R"
"Shooting Fish",1997,103,3000000,6.6,2701,"PG"
"Shopping for Fangs",1997,90,100000,7.6,44,"R"
"Shot at Glory, A",2000,114,9000000,6.3,286,"R"
"Shot, The",1996,83,NA,5.3,18,"R"
"Show, The",1995,93,NA,5.3,59,"R"
"Showgirl Murders",1996,82,NA,2.8,38,"R"
"Showgirls",1995,131,45000000,3.8,11483,"NC-17"
"Showtime",2002,96,85000000,5.5,7689,"PG-13"
"Shrek",2001,90,60000000,8,65146,"PG"
"Shrek 2",2004,92,75000000,7.8,27236,"PG"
"Shrieker",1997,84,NA,2.9,150,"R"
"Shrink Is In, The",2001,87,6000000,4.9,319,"R"
"Shrunken City, The",1998,90,NA,4.3,45,"PG"
"Shu dan long wei",1995,101,NA,5.8,604,"R"
"Shu shan zheng zhuan",2001,104,NA,5.9,627,"PG-13"
"Shuang long hui",1992,100,NA,5.9,1379,"PG-13"
"Shuang tong",2002,113,NA,6.4,524,"R"
"Shuang xiong",2003,100,NA,5.8,111,"R"
"Shura Yukihime",2001,93,NA,5.8,687,"R"
"Shutter",2001,24,15000,3.5,12,"R"
"Sidewalks of New York",2001,108,1000000,6.5,1998,"R"
"Sideways",2004,123,16000000,8,17051,"R"
"Siebtelbauern, Die",1998,95,NA,7.2,424,"R"
"Siege, The",1998,116,70000000,5.9,9725,"R"
"Signal One",1994,95,NA,2.9,14,"R"
"Signs",2002,108,72000000,7.1,40285,"PG-13"
"Silencers, The",1996,103,NA,4.1,110,"R"
"Silent Trigger",1996,90,15000000,4.7,432,"R"
"Silicon Towers",1999,87,NA,3.4,74,"PG-13"
"Silver City",2004,129,NA,6.4,796,"R"
"Simian Line, The",2000,106,NA,5.9,112,"R"
"Simon Birch",1998,113,20000000,6.8,4612,"PG"
"Simon Sez",1999,90,NA,2.6,737,"PG-13"
"Simpatico",1999,101,NA,4.5,994,"R"
"Simple Plan, A",1998,121,17000000,7.6,15398,"R"
"Simple Revenge",2003,88,NA,6.6,13,"R"
"Simple Wish, A",1997,89,28000000,5,423,"PG"
"Simply Irresistible",1999,94,6000000,4.7,3083,"PG-13"
"Sin City",2005,124,45500000,8.3,23473,"R"
"Sin nombre, Los",1999,102,NA,6.2,1127,"R"
"Sin noticias de Dios",2001,112,NA,6.6,960,"R"
"Sinbad: Legend of the Seven Seas",2003,86,60000000,6.5,2340,"PG"
"Sinful Intrigue",1995,88,NA,3.7,37,"R"
"Sinful Obsession",1999,90,NA,3,43,"R"
"Singing Detective, The",2003,109,10000000,5.3,1184,"R"
"Singles Ward, The",2002,102,500000,5.7,291,"PG"
"Sip si 32 doe",1996,90,NA,7.5,245,"R"
"Siren's Kiss",1995,99,NA,3.5,46,"R"
"Sister My Sister",1994,86,NA,7,372,"R"
"Siu lam juk kau",2001,89,NA,7.3,6680,"PG-13"
"Siunin Wong Fei-hung tsi titmalau",1993,90,2000000,7.4,3173,"PG-13"
"Six Ways to Sunday",1997,97,NA,6,284,"R"
"Six-String Samurai",1998,91,2000000,6.2,1163,"PG-13"
"Sixteen Years of Alcohol",2003,102,NA,5.4,209,"R"
"Sixth Man, The",1997,107,NA,5,642,"PG-13"
"Sixth Sense, The",1999,107,55000000,8.2,96987,"PG-13"
"Size of Watermelons, The",1996,84,NA,5.1,71,"R"
"Skateboard Kid II, The",1995,90,NA,4.3,64,"PG"
"Skeletons in the Closet",2000,86,1500000,5.4,239,"R"
"Ski Hard",1995,90,NA,3.9,70,"PG-13"
"Ski School 2",1995,89,NA,4.1,218,"R"
"Skin Deep",2003,89,400000,3.8,31,"R"
"Skinned Deep",2004,97,NA,4,40,"R"
"Skinner",1995,90,NA,4.6,118,"R"
"Skins",2002,84,NA,6.6,351,"R"
"Skipped Parts",2000,100,NA,6.3,750,"R"
"Skippy",2001,90,NA,3.5,40,"PG"
"Skulls III, The",2003,102,NA,4.4,193,"PG-13"
"Skulls, The",2000,106,15000000,5.3,6530,"PG-13"
"Sky Captain and the World of Tomorrow",2004,106,40000000,6.5,12579,"PG"
"Sky Is Falling, The",2000,105,NA,6,142,"PG-13"
"Skyggen",1998,102,NA,4.9,170,"R"
"Slackers",2002,86,11000000,4.7,2755,"R"
"Slam",1998,100,1000000,7.1,569,"R"
"Slap Her... She's French",2002,92,10000000,4.7,811,"PG-13"
"Slappy and the Stinkers",1998,78,NA,4,111,"PG"
"Slash",2002,93,NA,4.1,287,"R"
"Slashers",2001,97,165000,5.2,213,"R"
"Slaughter Rule, The",2002,112,500000,6,356,"R"
"Sleepers",1996,147,44000000,7,17896,"R"
"Sleeping Dictionary, The",2003,109,12000000,6.1,696,"R"
"Sleepover",2004,89,10000000,4.1,733,"PG"
"Sleepwalkers",1992,91,NA,4.3,2569,"R"
"Sleepy Heads",1997,87,NA,5.2,34,"R"
"Sleepy Hollow",1999,105,65000000,7.4,38857,"R"
"Sleepy Time Gal, The",2001,94,NA,6,159,"R"
"Sliding Doors",1998,99,NA,6.9,11954,"R"
"Sling Blade",1996,135,NA,8,20361,"R"
"Slipping-Down Life, A",1999,111,NA,5.9,148,"R"
"Slums of Beverly Hills",1998,92,5000000,6.4,2914,"R"
"Small Faces",1996,100,NA,7,381,"R"
"Small Soldiers",1998,110,40000000,5.8,6938,"PG-13"
"Small Time Crooks",2000,94,18000000,6.5,6218,"PG"
"Smashing Machine, The",2002,93,NA,7.9,163,"R"
"Smile",2005,107,NA,4.9,43,"PG-13"
"Smile Like Yours, A",1997,98,18000000,4.5,348,"R"
"Smilla's Sense of Snow",1997,120,35000000,6.3,3722,"R"
"Smoke",1993,90,NA,6.4,56,"R"
"Smoke",1995,112,7000000,7.4,8111,"R"
"Smoke Signals",1998,88,2000000,7.2,2665,"PG-13"
"Smokers, The",2000,90,NA,3.1,691,"R"
"Snake Eyes",1998,98,73000000,5.7,12091,"R"
"Snake Island",2002,90,NA,2.9,66,"R"
"Snatch.",2000,102,10000000,7.9,44785,"R"
"Snipes",2001,113,NA,5.7,123,"R"
"Snitch",1998,90,11000000,6.2,412,"R"
"Snow Day",2000,89,13000000,4.6,1645,"PG"
"Snow Days",1999,90,NA,4.5,244,"R"
"Snow Dogs",2002,99,35000000,5.1,2379,"PG"
"Snow Falling on Cedars",1999,127,36000000,6.7,4536,"PG-13"
"Snow Walker, The",2003,103,NA,7.5,632,"PG"
"Snow White: A Tale of Terror",1997,100,NA,6,1582,"R"
"Snowboard Academy",1996,88,NA,2.1,384,"PG"
"Soccer Dog: European Cup",2004,88,NA,4.8,30,"PG"
"Soccer Dog: The Movie",1999,98,NA,3.9,282,"PG"
"Social Suicide",1991,98,NA,4.1,15,"PG-13"
"Soft Fruit",1999,101,NA,6.4,239,"R"
"Soft Toilet Seats",1999,107,NA,4,16,"R"
"Soho Square",2000,79,7000,4.9,45,"R"
"Sol Goode",2001,99,3000000,5.4,291,"R"
"Solaris",2002,99,47000000,6.3,11808,"PG-13"
"Solas",1999,101,NA,7.4,1024,"R"
"Soldier",1998,98,75000000,5.2,5590,"R"
"Soldier Boyz",1995,90,NA,4,211,"R"
"Soldier's Daughter Never Cries, A",1998,127,NA,6.9,875,"R"
"Soldier's Sweetheart, A",1998,112,NA,5.8,186,"R"
"Solitaire",1996,94,NA,2.9,14,"R"
"Solitaire for 2",1995,106,1500000,4.8,122,"R"
"Solo",1996,94,NA,3.5,699,"PG-13"
"Solomon and Gaenor",1999,102,NA,6.6,347,"R"
"Some Girl",1998,94,NA,5.8,284,"R"
"Some Mother's Son",1996,112,NA,7.1,584,"R"
"Somebody Is Waiting",1996,96,NA,4.9,115,"R"
"Somebody to Love",1994,102,NA,5,174,"R"
"Someone Else's America",1995,96,NA,6.5,113,"R"
"Someone Like You...",2001,97,23000000,5.7,4249,"PG-13"
"Someone to Die For",1995,105,NA,4.7,39,"R"
"Something to Talk About",1995,106,NA,5.6,2758,"R"
"Something's Gotta Give",2003,128,NA,6.8,11275,"PG-13"
"Sometimes They Come Back... Again",1996,98,3000000,2.9,630,"R"
"Sometimes They Come Back... for More",1999,89,2000000,2.8,321,"R"
"Somewhere in the City",1998,94,NA,4.6,65,"R"
"Son de mar",2001,96,NA,5.8,316,"R"
"Son of the Mask",2005,94,74000000,1.9,1785,"PG"
"Sonatine",1993,94,NA,7.5,2407,"R"
"Songcatcher",2000,109,1800000,7.2,927,"PG-13"
"Sonny",2002,110,NA,5.5,438,"R"
"Sono pazzo di Iris Blond",1996,110,NA,6.3,144,"R"
"Sons of Provo",2004,93,200000,4.3,35,"PG"
"Sorceress",1995,93,NA,3.8,141,"R"
"Sorceress II: The Temptress",1996,90,NA,2.7,36,"R"
"Sordid Lives",2000,111,NA,6.3,575,"R"
"Sorority Boys",2002,93,12000000,5.1,2398,"R"
"Sorted",2000,102,NA,5.3,238,"R"
"Sorum",2001,100,NA,6.4,156,"R"
"Soul Assassin",2001,96,7000000,4,376,"R"
"Soul Food",1997,114,7500000,6.5,1166,"R"
"Soul Plane",2004,92,16000000,3.2,2361,"R"
"Soul Survivors",2001,84,14000000,3.6,2305,"R"
"Souler Opposite, The",1998,104,NA,5.1,72,"R"
"Soulkeeper",2001,105,NA,4.8,283,"R"
"Soundman",1998,105,NA,6.8,128,"R"
"Sour Grapes",1998,92,NA,5.3,517,"R"
"Source, The",2002,97,NA,4.3,151,"R"
"South Beach Academy",1996,91,NA,3.2,104,"R"
"South Park: Bigger Longer & Uncut",1999,81,21000000,7.6,33188,"R"
"South of Heaven, West of Hell",2000,139,NA,3.7,306,"R"
"Southie",1998,95,NA,4.4,298,"R"
"Space Fury",2000,80,NA,1.6,76,"R"
"Space Jam",1996,87,80000000,5.2,7995,"PG"
"Space Marines",1996,95,NA,3.3,113,"R"
"Space Truckers",1996,95,25000000,4.5,1460,"PG-13"
"Spacejacked",1997,89,NA,2.7,43,"R"
"Spanglish",2004,130,80000000,6.7,4698,"PG-13"
"Spanish Judges",1999,98,3500000,4.8,178,"R"
"Spanish Prisoner, The",1997,110,NA,7.4,7433,"PG"
"Sparkler",1997,96,NA,5.5,196,"R"
"Spartan",2004,106,NA,6.9,5589,"R"
"Spawn",1997,98,40000000,4.6,7523,"PG-13"
"Specials, The",2000,82,NA,6,448,"R"
"Species",1995,108,35000000,5.4,8963,"R"
"Species II",1998,93,NA,3.6,4311,"R"
"Specimen",1996,85,NA,3.5,118,"R"
"Spectres",2004,98,NA,5,26,"PG-13"
"Speed",1994,116,28000000,7.1,32979,"R"
"Speed 2: Cruise Control",1997,121,110000000,3.3,13268,"PG-13"
"Speed Demon",2003,85,NA,2.6,98,"R"
"Speedway Junky",1999,105,1000000,5.3,469,"R"
"Sphere",1998,134,80000000,5.3,12990,"PG-13"
"Spice World",1997,93,25000000,3,7710,"PG"
"Spider",2002,94,8000000,6.8,5193,"R"
"Spider's Web",2001,88,NA,3.7,124,"R"
"Spider-Man",2002,121,139000000,7.4,63228,"PG-13"
"Spider-Man 2",2004,127,200000000,7.9,40256,"PG-13"
"Spiders",2000,95,2000000,3.2,511,"R"
"Spiders II: Breeding Ground",2001,96,NA,3.2,195,"R"
"Spill",1996,87,NA,2.6,145,"PG-13"
"Spinning Boris",2003,112,NA,6.8,204,"R"
"Spirit Lost",1996,90,NA,3.6,27,"R"
"Splendor",1999,93,NA,5.8,804,"R"
"SpongeBob SquarePants Movie, The",2004,90,30000000,6.5,2672,"PG"
"Spooky House",2000,106,NA,5.6,79,"PG"
"Spreading Ground, The",2000,100,NA,5.4,97,"R"
"Sprechende Grab, Das",1994,90,NA,3.9,8,"PG"
"Spriggan: The Movie",1998,90,NA,6.5,584,"R"
"Spring Forward",1999,110,2000000,7.1,307,"R"
"Sprung",1997,105,NA,4,194,"R"
"Spun",2002,106,2800000,6.2,3924,"R"
"Spy Game",2001,126,92000000,7,16736,"R"
"Spy Hard",1996,81,18000000,4.5,4686,"PG-13"
"Spy Kids 2: Island of Lost Dreams",2002,99,39000000,5.8,3175,"PG"
"Spy Kids 3-D: Game Over",2003,84,39000000,4.7,2597,"PG"
"St. Ives",1999,90,NA,6.2,179,"R"
"Stage Beauty",2004,110,NA,7.3,1211,"R"
"Stageghost",2000,104,NA,3.9,26,"R"
"Stand-In, The",1999,100,400000,5.6,42,"PG"
"Standard Time",2002,102,NA,5.8,89,"PG-13"
"Stander",2003,111,NA,7.2,659,"R"
"Standing in the Shadows of Motown",2002,108,NA,7.7,869,"PG"
"Standing on Fishes",1999,89,NA,6,35,"R"
"Standoff",1998,87,NA,4.6,116,"R"
"Stanza del figlio, La",2001,99,NA,7.4,2992,"R"
"Star Kid",1997,101,12000000,5,269,"PG"
"Star Maps",1997,86,NA,6.1,350,"R"
"Star Trek: First Contact",1996,106,45000000,7.3,25046,"PG-13"
"Star Trek: Insurrection",1998,103,58000000,6.3,13395,"PG"
"Star Trek: Nemesis",2002,116,70000000,6.5,11785,"PG-13"
"Star Trek: The Motion Picture",1979,143,35000000,5.8,10752,"PG"
"Star Trek: The Wrath of Khan",1982,116,11000000,7.6,16333,"PG"
"Star Wars",1977,125,11000000,8.8,134640,"PG"
"Star Wars: Episode I - The Phantom Menace",1999,133,115000000,6.4,84488,"PG"
"Star Wars: Episode II - Attack of the Clones",2002,120,120000000,7,63889,"PG"
"Star Wars: Episode V - The Empire Strikes Back",1980,129,18000000,8.8,103706,"PG"
"Star Wars: Episode VI - Return of the Jedi",1983,135,32500000,8.1,82471,"PG"
"Stardom",2000,105,NA,5.2,499,"R"
"Starforce",2000,93,NA,3.5,77,"PG"
"Stark Raving Mad",2002,102,5000000,6.2,601,"R"
"Starkweather",2004,92,1000000,4.6,89,"R"
"Starquest II",1997,92,NA,2,104,"R"
"Starry Night",1999,101,NA,4.1,94,"PG-13"
"Starship Troopers",1997,129,95000000,6.7,32618,"R"
"Starsky & Hutch",2004,101,60000000,6.3,13529,"PG-13"
"Startup.com",2001,105,NA,7.2,1359,"R"
"State Property",2002,88,NA,2.7,265,"R"
"State Property 2",2005,94,NA,3.7,58,"R"
"State and Main",2000,105,NA,7,6995,"R"
"Statement, The",2003,120,23000000,6.1,710,"R"
"Stateside",2004,97,16000000,5.4,247,"R"
"Station Agent, The",2003,88,500000,8.1,7112,"R"
"Stay Away, Joe",1968,102,NA,3.8,143,"PG"
"Steal Big Steal Little",1995,135,35000000,4.6,263,"PG-13"
"Stealing Beauty",1996,113,NA,6.2,3932,"R"
"Stealing Harvard",2002,82,25000000,4.7,2547,"PG-13"
"Stealing Sinatra",2003,96,NA,5.5,137,"R"
"Stealth Fighter",1999,88,NA,3.6,220,"R"
"Steamboy",2004,126,20000000,6.6,529,"PG-13"
"Steel",1997,97,16000000,2.6,1607,"PG-13"
"Steel Frontier",1995,105,NA,4.9,44,"R"
"Steel Sharks",1996,94,NA,3.8,100,"R"
"Step Into Liquid",2003,88,NA,7.3,497,"PG"
"Stepdaughter, The",2000,92,NA,3.7,114,"R"
"Stepford Wives, The",2004,93,90000000,5.3,7773,"PG-13"
"Stepmom",1998,124,50000000,6.1,7470,"PG-13"
"Sterling Chase, The",1999,95,NA,5.8,75,"R"
"Stevie",2002,140,NA,8.2,453,"R"
"Stickmen",2001,98,NA,6.6,372,"R"
"Sticks and Stones",1996,95,NA,5.8,111,"PG-13"
"Stickup, The",2001,94,NA,6.2,230,"R"
"Stigmata",1999,103,32000000,6,14062,"R"
"Still Breathing",1997,109,NA,6.5,659,"PG-13"
"Still Crazy",1998,100,NA,6.6,1561,"R"
"Stir of Echoes",1999,99,13000000,7,11433,"R"
"Stoked: The Rise and Fall of Gator",2002,82,NA,7.2,238,"R"
"Stolen Heart",1998,85,NA,5.7,29,"R"
"Stolen Summer",2002,91,1500000,6.2,801,"PG"
"Stone Reader",2002,127,NA,7.4,197,"PG-13"
"Stonebrook",1999,90,NA,4.9,125,"PG-13"
"Stonewall",1995,99,NA,6.7,353,"R"
"Storefront Hitchcock",1998,77,NA,7.2,90,"PG-13"
"Storm Catcher",1999,91,NA,3.8,311,"R"
"Storm Watch",2002,100,NA,5.2,228,"R"
"Stormswept",1995,93,NA,2.8,37,"R"
"Stormy Nights",1996,87,NA,3.3,51,"R"
"Story of Us, The",1999,95,50000000,5.6,4953,"R"
"Storytelling",2001,87,NA,6.7,4025,"R"
"Strange Bedfellows",2004,100,NA,6,125,"R"
"Strange Days",1995,145,42000000,6.9,11869,"R"
"Strange Hearts",2001,90,NA,5.5,82,"R"
"Strangeland",1998,92,2000000,4.4,1179,"R"
"Stranger Than Fiction",1999,96,NA,6.1,372,"R"
"Stranger in the House",1997,94,NA,5,47,"R"
"Stranger in the Kingdom",1998,112,NA,6.3,52,"R"
"Stranger, The",1995,98,NA,3.8,95,"R"
"Strangers on a Train",1951,103,1200000,8.3,10624,"PG"
"Strategic Command",1997,90,NA,3.5,166,"R"
"Stray, The",2000,94,NA,4.5,111,"R"
